################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   3.6733223610865000E+00   8.9141672999620480E-01   1.0551582729680145E+00
         1          2   0.0000000000000000E+00   3.9271051363188680E-01   3.7276558750653312E-02   5.5663299752994506E-02
         1          3   0.0000000000000000E+00   2.7001650564006785E+00   6.0319429618615372E-01   6.9999020520106314E-01
         1          4   0.0000000000000000E+00   2.3885582115318824E-01   2.0277627143753290E-02   3.0978651299342932E-02
         1          5   0.0000000000000000E+00   2.1032115941226968E+00   4.5948490627593480E-01   5.4394386787317062E-01
         1          6   0.0000000000000000E+00   1.9970295293804943E+00   4.5041054693292615E-01   5.5794083726125343E-01
         1          7   0.0000000000000000E+00   7.6636831419933840E-02   5.0788188960306001E-03   8.2589300187654712E-03
         1          8   0.0000000000000000E+00   1.3271093426445857E+00   2.7337620526363782E-01   3.3482571830931190E-01
         1          9   0.0000000000000000E+00   1.0453236571557663E+00   2.1253911780957177E-01   2.7403400336052730E-01
         1         10   0.0000000000000000E+00   1.8116667273300994E+01   4.9135769106104119E+00   5.1707181267642106E+00
         1         11   0.0000000000000000E+00   2.9670326993437790E+00   3.9228809663586478E-01   5.3659234562733160E-01
         1         12   0.0000000000000000E+00   1.2326830212101850E+01   2.8923643608316372E+00   3.1606970036019759E+00
         1         13   0.0000000000000000E+00   2.0497564684391850E+01   5.7773510275474331E+00   5.8090232215017874E+00
         1         14   0.0000000000000000E+00   1.3642508616498588E+01   3.2262434634396588E+00   3.4861896649343724E+00
         1         15   0.0000000000000000E+00   2.4939014035642394E+01   7.0321066205841474E+00   7.0670897313569618E+00
         1         16   0.0000000000000000E+00   4.5586206185482094E+00   6.2334328771921255E-01   8.4219478645372270E-01
         1         17   0.0000000000000000E+00   7.0187942223422199E+00   1.9790922352657538E+00   1.9873880760216447E+00
         1         18   0.0000000000000000E+00   1.2557192050192181E+00   1.7788084691737038E-01   2.4153388125806755E-01
         1         19   0.0000000000000000E+00   4.6868074589144095E+00   1.1077286838755231E+00   1.1909143275617504E+00
         1         20   9.1027876051131933E-03   6.0557832115343714E+01   1.6860606672550634E+01   1.7207833459883936E+01
         1         21   0.0000000000000000E+00   1.0637671257300958E+01   1.4560560246368814E+00   1.9632971576265268E+00
         1         22   0.0000000000000000E+00   4.0569447335335759E+01   9.5780359808765176E+00   1.0376104033392844E+01
         1         23   0.0000000000000000E+00   2.6561690943679011E+01   6.2832581728315500E+00   6.7877217481169874E+00
         1         24   1.3399348351688005E-03   4.8775256333577723E+01   1.3746750180508966E+01   1.3824329538844252E+01
         1         25   0.0000000000000000E+00   8.8774657776442893E+00   1.2209384735635573E+00   1.6541567101452641E+00
         1         26   2.0829895878896169E-02   1.3796603642649435E+01   3.8913103574725838E+00   3.9075813234761330E+00
         1         27   0.0000000000000000E+00   2.4120465563208202E+00   3.4542533336592463E-01   4.6153237676282177E-01
         1         28   0.0000000000000000E+00   9.1886411081802297E+00   2.1688506668489906E+00   2.3476953507358806E+00
         1         29   4.9032646929322585E-03   2.5962263326580040E+01   7.3056578134356416E+00   7.3681648485878251E+00
         1         30   0.0000000000000000E+00   4.6016257655814012E+00   6.5449681390201953E-01   8.8008358680455734E-01
         1         31   0.0000000000000000E+00   1.7289730036464110E+01   4.0872440771122269E+00   4.4127958606286466E+00
         1         32   2.5512877373855945E-07   3.5270787372459196E+01   9.9544063314475402E+00   9.9865119088244665E+00
         1         33   0.0000000000000000E+00   2.3513801339765049E+01   5.5483722524734720E+00   5.9993542601904020E+00
         1         34   0.0000000000000000E+00   8.9283500929424309E-01   1.2096653539990367E-01   1.7341912965581241E-01
         1         35   0.0000000000000000E+00   1.2595350568889582E-03   1.8727175146537304E-05   5.0123227067292487E-05
         1         36   0.0000000000000000E+00   2.8456001288637139E-01   2.3847993131512469E-02   3.7075068304530862E-02
         1         37   0.0000000000000000E+00   3.3257670138677149E+00   4.7693257824101010E-01   6.7492505858689567E-01
         1         38   0.0000000000000000E+00   1.7800108191770529E-02   1.6845927342449031E-03   2.7424698272766434E-03
         1         39   0.0000000000000000E+00   4.3223351567591219E+00   6.2380031052139562E-01   8.7050966041277777E-01
         1         40   0.0000000000000000E+00   4.8540900667449219E-02   1.7886256082487841E-03   3.6756846593761381E-03
         1         41   0.0000000000000000E+00   1.1979299032090834E-02   1.1960822316816405E-03   2.2155961496952920E-03
         1         42   0.0000000000000000E+00   1.7532873777385123E+00   2.0390268038705298E-01   2.8501785551740694E-01
         1         43   0.0000000000000000E+00   8.6467423035275033E+00   1.2534256175171217E+00   1.7671928598764173E+00
         1         44   0.0000000000000000E+00   5.4227843846097065E-02   5.1550671898620100E-03   8.3100153236604687E-03
         1         45   0.0000000000000000E+00   1.1597494669648320E+01   1.7126860730878775E+00   2.3675733272317303E+00
         1         46   0.0000000000000000E+00   1.3739857453384752E-01   5.2414890688216326E-03   1.0437064432676980E-02
         1         47   0.0000000000000000E+00   3.5773617965327943E-02   3.7941950791093508E-03   6.8891546763617728E-03
         1         48   0.0000000000000000E+00   4.0067972669062266E+00   4.4008499526249090E-01   6.2837831489102847E-01
         1         49   0.0000000000000000E+00   7.0046485380897106E-01   9.4377300696630945E-02   1.3702441998615492E-01
         1         50   0.0000000000000000E+00   9.5270840780312538E-01   1.3280404347054409E-01   1.8815063841261251E-01
         1         51   0.0000000000000000E+00   4.0773978621121743E-01   4.5435604261216511E-02   6.4220752039544013E-02
         1         52   0.0000000000000000E+00   4.9935125522562629E+00   7.1276389548918684E-01   1.0110811701230684E+00
         1         53   0.0000000000000000E+00   2.8412817341028088E-02   2.4850916165673185E-03   3.9946461104218038E-03
         1         54   0.0000000000000000E+00   6.9193064857068221E+00   1.0203754239675187E+00   1.4118551553309986E+00
         1         55   0.0000000000000000E+00   6.9357328671808632E-02   2.5471694831803609E-03   5.0142694026671427E-03
         1         56   0.0000000000000000E+00   1.9595328772488131E-02   1.9274390781687432E-03   3.4816547418581897E-03
         1         57   0.0000000000000000E+00   2.2259635163075098E+00   2.3114136030579049E-01   3.3600207463170001E-01
         1         58   0.0000000000000000E+00   1.9289640438896927E+00   2.7209145859164402E-01   3.8348595798648427E-01
         1         59   0.0000000000000000E+00   8.2055536960740061E-01   9.2283285948319846E-02   1.3021263224734828E-01
         1         60   0.0000000000000000E+00   3.7524042385533147E+00   5.2165373301956341E-01   7.4840232475569446E-01
         1         61   0.0000000000000000E+00   1.5690601169240152E-02   1.2727157498166779E-03   2.1542668437809082E-03
         1         62   0.0000000000000000E+00   5.2869734612774799E+00   7.6885110841350646E-01   1.0703191965279957E+00
         1         63   0.0000000000000000E+00   1.1642495432144948E-02   1.0417678636549035E-03   1.9319822063190359E-03
         1         64   0.0000000000000000E+00   9.6828560065580616E-01   9.3856014391166351E-02   1.3966656597150051E-01
         2          1   0.0000000000000000E+00   2.3254631630358832E-01   2.1432786958487944E-02   3.2858677572446031E-02
         2          2   0.0000000000000000E+00   9.1405580182797297E-01   1.8219552876014539E-01   7.6672287331754199E-02
         2          3   0.0000000000000000E+00   4.4941199382057306E-01   2.3929194757756907E-02   3.9429401286008518E-02
